date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:44	1301147/1301147	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-13da9b%22	https://d2s9.org/img/slider/2021-11-09_22.51.25.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/slider/2021-11-09_22.51.25.png	(from https://d2s9.org/)
20:14:44	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:46%20GMT	https://d2s9.org/lib/slick/slick.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/slick/slick.min.13.delayed	(from https://d2s9.org/)
20:14:44	1657869/1657869	---M--	200	added ('OK')	image/jpeg	etag:%2267a7e82a-194c0d%22	https://d2s9.org/img/slider/render.jpg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/slider/render.jpg	(from https://d2s9.org/)
20:14:45	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:46%20GMT	https://d2s9.org/lib/magnific-popup/jquery.magnific-popup.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/magnific-popup/jquery.magnific-popup.min.js	(from https://d2s9.org/)
20:14:46	1989/1989	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a7e82a-7c5%22	https://d2s9.org/js/plotly.d2s9.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/plotly.d2s9.js	(from https://d2s9.org/)
20:14:46	2152/2152	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267a7e82a-868%22	https://d2s9.org/js/project.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/project.js	(from https://d2s9.org/)
20:14:46	3655225/3655225	---M-Z	200	added ('OK')	application/javascript	etag:%223957efc8fc3825f502d7cd325b464e3d%22	https://cdn.plot.ly/plotly-2.6.4.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/cdn.plot.ly/plotly-2.6.4.min.js	(from https://d2s9.org/)
20:14:47	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:48%20GMT	https://d2s9.org/fonts/Minecraftia-Regular.eot	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/fonts/Minecraftia-Regular.eot	(from https://d2s9.org/css/styles.css)
20:14:47	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:49%20GMT	https://d2s9.org/fonts/Minecraftia-Regular.ttf	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/fonts/Minecraftia-Regular.ttf	(from https://d2s9.org/css/styles.css)
20:14:47	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:49%20GMT	https://d2s9.org/fonts/Minecraftia-Regular.svg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/fonts/Minecraftia-Regular.svg	(from https://d2s9.org/css/styles.css)
20:14:48	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:50%20GMT	https://d2s9.org/slick/ajax-loader.gif	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/ajax-loader.gif	(from https://d2s9.org/css/styles.css)
20:14:49	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:50%20GMT	https://d2s9.org/slick/fonts/slick.eot	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/fonts/slick.eot	(from https://d2s9.org/css/styles.css)
20:14:49	1330420/1330420	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-144cf4%22	https://d2s9.org/img/spawn-370-banner.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/spawn-370-banner.png	(from https://d2s9.org/css/styles.css)
20:14:49	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:51%20GMT	https://d2s9.org/slick/fonts/slick.eot?	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/fonts/slickd41d.eot	(from https://d2s9.org/css/styles.css)
20:14:49	899749/899749	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-dbaa5%22	https://d2s9.org/img/promotion.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/promotion.png	(from https://d2s9.org/css/styles.css)
20:14:49	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:51%20GMT	https://d2s9.org/slick/fonts/slick.woff	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/fonts/slick.woff	(from https://d2s9.org/css/styles.css)
20:14:50	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:51%20GMT	https://d2s9.org/slick/fonts/slick.ttf	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/fonts/slick.ttf	(from https://d2s9.org/css/styles.css)
20:14:50	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:52%20GMT	https://d2s9.org/slick/fonts/slick.svg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/slick/fonts/slick.svg	(from https://d2s9.org/css/styles.css)
20:14:52	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:54%20GMT	https://d2s9.org/lib/jquery/jquery-3.6.1.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/jquery/jquery-3.6.1.min.js	(from https://d2s9.org/community.html)
20:14:52	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:54%20GMT	https://d2s9.org/lib/plotly/plotly-2.6.4.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/plotly/plotly-2.6.4.min.js	(from https://d2s9.org/community.html)
20:14:52	1038685/1038685	---M--	200	added ('OK')	image/png	etag:%2267a7e82a-fd95d%22	https://d2s9.org/img/8ut_spawn-1000.png	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/8ut_spawn-1000.png	(from https://d2s9.org/about.html)
20:14:52	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:54%20GMT	https://d2s9.org/lib/three/three.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/three/three.min.js	(from https://d2s9.org/community.html)
20:14:53	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:55%20GMT	https://d2s9.org/lib/minerender/skin.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/minerender/skin.js	(from https://d2s9.org/community.html)
20:14:54	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:55%20GMT	https://d2s9.org/lib/egg/egg.min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/lib/egg/egg.min.js	(from https://d2s9.org/community.html)
20:14:54	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:56%20GMT	https://d2s9.org/js/min/plotly.d2s9-min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/min/plotly.d2s9-min.js	(from https://d2s9.org/community.html)
20:14:54	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:56%20GMT	https://d2s9.org/js/min/mcsrvstat.d2s9-min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/min/mcsrvstat.d2s9-min.js	(from https://d2s9.org/community.html)
20:14:55	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:56%20GMT	https://d2s9.org/js/min/community-min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/min/community-min.js	(from https://d2s9.org/community.html)
20:14:55	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:57%20GMT	https://d2s9.org/js/min/thunder-min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/min/thunder-min.js	(from https://d2s9.org/community.html)
20:14:55	9379/9379	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2018:14:57%20GMT	https://d2s9.org/js/min/project-min.js	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/js/min/project-min.js	(from https://d2s9.org/community.html)
20:14:56	20549/20549	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2267a7e82a-5045%22	https://d2s9.org/img/qr_paypal.svg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/qr_paypal.svg	(from https://d2s9.org/donation.html)
20:14:56	13379/13379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2267a7e82a-3443%22	https://d2s9.org/img/qr_bitcoin.svg	C:/Users/jonas/Desktop/WEBSITEs/d2/d2s9.org/img/qr_bitcoin.svg	(from https://d2s9.org/donation.html)
